,Airline,Category,Year,Passengers
201,Aegean Airlines,FSC,2019,14.99
202,Aegean Airlines,FSC,2018,13.97
203,Aegean Airlines,FSC,2017,13.22
204,Aegean Airlines,FSC,2016,12.46
205,Aegean Airlines,FSC,2015,11.6
206,Aegean Airlines,FSC,2014,10.2
207,Aegean Airlines,FSC,2013,8.8
208,Aegean Airlines,FSC,2012,8.9
209,Aegean Airlines,FSC,2011,9.9
210,Aegean Airlines,FSC,2010,10.1
211,Aegean Airlines,FSC,2009,10.2
212,Aegean Airlines,FSC,2008,11.3
213,Aegean Airlines,FSC,2007,11.1
214,Aegean Airlines,FSC,2006,10.1
215,Aegean Airlines,FSC,Alliance,Star Alliance
216,UTair Aviation,Hybrid,2021,7.12
217,UTair Aviation,Hybrid,2020,4.9
218,UTair Aviation,Hybrid,2019,8.09
219,UTair Aviation,Hybrid,2018,7.65
220,UTair Aviation,Hybrid,2017,7.3
221,UTair Aviation,Hybrid,2016,6.65
222,UTair Aviation,Hybrid,2015,8.8
223,UTair Aviation,Hybrid,2014,11.2
224,UTair Aviation,Hybrid,2013,10.4
225,UTair Aviation,Hybrid,2012,7.8
226,UTair Aviation,Hybrid,2011,5.8
227,UTair Aviation,Hybrid,2010,5.2
228,UTair Aviation,Hybrid,2009,3.9
229,UTair Aviation,Hybrid,2008,3.2
230,UTair Aviation,Hybrid,2007,2.9
231,UTair Aviation,Hybrid,2006,2.4
232,UTair Aviation,Hybrid,Alliance,0
233,Norwegian Air Shuttle ASA,LCC,2021,6.19
234,Norwegian Air Shuttle ASA,LCC,2020,6.87
235,Norwegian Air Shuttle ASA,LCC,2019,36.2
236,Norwegian Air Shuttle ASA,LCC,2018,37.34
237,Norwegian Air Shuttle ASA,LCC,2017,33.15
238,Norwegian Air Shuttle ASA,LCC,2016,29.3
239,Norwegian Air Shuttle ASA,LCC,2015,25.8
240,Norwegian Air Shuttle ASA,LCC,2014,24.0
241,Norwegian Air Shuttle ASA,LCC,2013,20.7
242,Norwegian Air Shuttle ASA,LCC,2012,17.7
243,Norwegian Air Shuttle ASA,LCC,2011,15.7
244,Norwegian Air Shuttle ASA,LCC,2010,13.0
245,Norwegian Air Shuttle ASA,LCC,2009,10.8
246,Norwegian Air Shuttle ASA,LCC,2008,9.1
247,Norwegian Air Shuttle ASA,LCC,2007,6.9
248,Norwegian Air Shuttle ASA,LCC,2006,5.1
249,TAP Air Portugal,FSC,2021,5.83
250,TAP Air Portugal,FSC,2020,4.66
251,TAP Air Portugal,FSC,2019,17.05
252,TAP Air Portugal,FSC,2018,15.89
253,TAP Air Portugal,FSC,2017,14.27
254,TAP Air Portugal,FSC,2016,11.72
255,TAP Air Portugal,FSC,2015,11.3
256,TAP Air Portugal,FSC,2014,11.4
257,TAP Air Portugal,FSC,2013,10.7
258,TAP Air Portugal,FSC,2012,10.2
259,TAP Air Portugal,FSC,2011,9.8
260,TAP Air Portugal,FSC,2010,9.1
261,TAP Air Portugal,FSC,2009,8.4
262,TAP Air Portugal,FSC,2008,8.7
263,TAP Air Portugal,FSC,2007,7.9
264,TAP Air Portugal,FSC,2006,6.9
265,TAP Air Portugal,FSC,Alliance,Star Alliance
266,Volotea,LCC,2020,3.8
267,Volotea,LCC,2019,7.6
268,Volotea,LCC,2018,6.57
269,Volotea,LCC,2017,4.82
270,Volotea,LCC,2016,4.3
271,Volotea,LCC,2013,1.8
272,Volotea,LCC,2012,1.4
273,Volotea,LCC,2011,0
274,Volotea,LCC,2010,0
275,Volotea,LCC,2009,0
276,Volotea,LCC,2008,0
277,Volotea,LCC,2007,0
278,Volotea,LCC,2006,0
279,LOT Polish Airlines,FSC,2021,4.2
280,LOT Polish Airlines,FSC,2020,3.59
281,LOT Polish Airlines,FSC,2019,11.79
282,LOT Polish Airlines,FSC,2018,10.61
283,LOT Polish Airlines,FSC,2017,6.89
284,LOT Polish Airlines,FSC,2016,5.58
285,LOT Polish Airlines,FSC,2015,6.1
286,LOT Polish Airlines,FSC,2014,5.9
287,LOT Polish Airlines,FSC,2013,6.3
288,LOT Polish Airlines,FSC,2012,5.8
289,LOT Polish Airlines,FSC,2011,5.5
290,LOT Polish Airlines,FSC,2010,5.0
291,LOT Polish Airlines,FSC,2009,4.0
292,LOT Polish Airlines,FSC,2008,4.3
293,LOT Polish Airlines,FSC,2007,3.7
294,LOT Polish Airlines,FSC,2006,0
295,LOT Polish Airlines,FSC,Alliance,Star Alliance
296,Air Europa,LCC,2020,3.13
297,Air Europa,LCC,2019,11.84
298,Air Europa,LCC,2018,10.6
299,Air Europa,LCC,2017,10.6
300,Air Europa,LCC,2016,10.2
301,Air Europa,LCC,2015,8.1
302,Air Europa,LCC,2014,9.0
303,Air Europa,LCC,2013,8.1
304,Air Europa,LCC,2012,8.7
305,Air Europa,LCC,2011,8.9
306,Air Europa,LCC,2010,9.0
307,Air Europa,LCC,2009,9.7
308,Air Europa,LCC,2008,9.9
309,Air Europa,LCC,2007,8.1
310,Air Europa,LCC,2006,59
311,Air Europa,LCC,Alliance,SkyTeam
312,Nordwind Airlines,LCC,2021,5.93
313,Nordwind Airlines,LCC,2020,2.94
314,Nordwind Airlines,LCC,2019,5.54
315,Nordwind Airlines,LCC,2018,4.92
316,Nordwind Airlines,LCC,2017,3.55
317,Nordwind Airlines,LCC,2016,1.79
318,Nordwind Airlines,LCC,2015,2.67
319,Nordwind Airlines,LCC,2014,4.47
320,Nordwind Airlines,LCC,2013,3.66
321,Nordwind Airlines,LCC,2012,2.17
322,Nordwind Airlines,LCC,2011,1.72
323,Nordwind Airlines,LCC,2010,1.19
324,Nordwind Airlines,LCC,2009,0
325,Nordwind Airlines,LCC,2008,0
326,Nordwind Airlines,LCC,2007,0
327,Nordwind Airlines,LCC,2006,0
